,Rating,Title,Review,Review_Date
30,3,"3.0 out of 5 stars
Needs a lot of improvements.","a. Occupancy sensor:- At times when I study, it does not detect me. It switches off appliances because I have set a routine. To appear like a human being, at times I move while seated on my chair.- There is no proper documentation for this feature. I had to have three different conversations with the customer care to understand the feature.b. Temperature detection:- It does not always work. There are times that it detected higher temperature and switched my AC on. Most of the time, it does not detect when the room temperature falls below a certain point; and thus, it does not switch the AC off.- Continuing with the previous statement: I think it checks periodically for the temperature and it is not done real time. For example: If the routine says to switch the AC off if the temperature drops below 23, there are times it switched the AC off at 22.5 and there were times when the room was at 19 degrees but still the AC was not switched off automatically. I am told by the customer care that my device is faulty. I have asked for a replacement of the product.",02-Apr-23
31,5,"5.0 out of 5 stars
Nice one",Superb product..,15-Aug-23
32,3,"3.0 out of 5 stars
Sound quality is bad compared to 4th Generation. May be this one is faulty",Sound quality is bad compared to 4th Generation. May be this one is faulty,12-Jul-23
33,4,"4.0 out of 5 stars
Good",Good,31-May-23
34,5,"5.0 out of 5 stars
Alexa, a wonder Gift.","We decided to gift it to a relative, who was turning 60. The whole family is enjoying it. High value for money send a very appropriate gift. Thanks Amazon.",24-Jul-23
35,5,"5.0 out of 5 stars
very nice",nice product and the sound quality,07-Aug-23
36,5,"5.0 out of 5 stars
Go for it !!",Reviewing after one month of usage.. it’s a complete delight to just order alexa to play your favorite music.. music lovers go for it..,02-Aug-23
37,5,"5.0 out of 5 stars
Don't feel lonely","With the new alexa echo dot 5.0, this was our first echo device, there are soany things we can do with this, my child use to listen the stories, we listen songs, it also tells jokes and many informative things",14-Jul-23
38,4,"4.0 out of 5 stars
Device is good but...",But need to be more user friendly like FM radio not directly linked only All in India Radio is playing. Need to be more flexible as Google,12-May-23
39,5,"5.0 out of 5 stars
Very good product",We are very satisfied with Alexa eco dot,31-Jul-23
40,5,"5.0 out of 5 stars
Recommended",Nice product...Sound quality is goodEasy to connectAll smart devices working flawlessValue for money,01-Aug-23
41,4,"4.0 out of 5 stars
Excellent companion with minor bugs","It is an excellent companion. However, it has few flaws as listed below (as per two days of usage):1. Playing same songs again and again. Forcing to buy a package from the music partners. Also, the playlist always starts from the same song and continues the same list (even though shuffle is enabled). That's why 1 star less.2. Not giving appropriate answers sometimes.3. Not having a memory like Google Assistant. Not remembering the things happened.4. Even though, profile is created for specific person, it is responding to all voices. No use for profile creation except remembering the profile name.Overall, it needs a few updates to solve the bugs. However, it's the best companion and a new family member.",07-Mar-23
42,3,"3.0 out of 5 stars
Not work",Not working internet problem..many times trying but...not working,30-Jun-23
43,3,"3.0 out of 5 stars
The motion detection is useless",The motion detection doesn’t work well. It works only once every 30 min,23-Jun-23
44,5,"5.0 out of 5 stars
Eco dot Alexa",Good  not in daily use.,28-Jul-23
45,5,"5.0 out of 5 stars
One word... BeasT",You don't have to leave ur bed if u have one. Can do literally every thing if u get it right.. BE ADVISED.. IF U GET IT RIGHT AND LOOSE INTERNET... YOU WILL BE IN STONE AGE.,05-Jul-23
46,5,"5.0 out of 5 stars
A good product","I am using this for more than 2 months now.Pros: good speakers, sound doesn't cracks on high volume, compact and handy.Cons: the touch to stop doesn't work so accurately. Sometimes difficult to make the alexa algorithm understand about the song/command we want it to work for.",30-Jun-23
47,5,"5.0 out of 5 stars
Nice",Nice..Thanks to amazon,31-Jul-23
48,5,"5.0 out of 5 stars
Excellent",Loaded with features ....and excellent sound quality,19-Jul-23
49,5,"5.0 out of 5 stars
Echo dot 5 th gen - Very good",Easy to connectVery nice sound with good bassResponse time is amazingGo for it👍,22-Jul-23
50,5,"5.0 out of 5 stars
good",amazing,24-Jul-23
51,1,"1.0 out of 5 stars
Frustratingly Unresponsive: Amazon Alexa's Listening Skills Need Serious Improvement","The media could not be loaded.
                



 Where do I even begin with my disastrous experience with Amazon Alexa? I can confidently say that my interaction with this so-called ""smart"" device has been nothing short of a nightmare. Alexa's severe lack of responsiveness and its infuriating tendency to play ""Happy Birthday to You"" on loop have left me exasperated and utterly disappointed.First and foremost, Alexa's main selling point is its voice recognition capability, but it seems to have taken a nosedive into incompetence. Despite speaking loud and clear, Alexa appears to have developed selective hearing. It is frustratingly unresponsive, failing to register even the most basic commands. It's as if I'm speaking to a brick wall rather than an intelligent virtual assistant.But that's not the worst part. Oh no, the worst part is the endless repetition of ""Happy Birthday to You."" It's as if Alexa has developed an unhealthy obsession with this one particular song. No matter what query I make or command I give, it responds by launching into an endless rendition of ""Happy Birthday to You."" It's mind-numbingly repetitive and offers absolutely no value or utility.I've tried every possible troubleshooting option imaginable, from resetting the device to adjusting its sensitivity, but nothing seems to rectify Alexa's misbehavior. It's as if this device has a mind of its own, and that mind is entirely focused on torturing its users with an unending birthday anthem.Furthermore, Alexa's lack of intelligence is evident in its inability to learn and adapt. It doesn't grasp context or understand conversational nuances, rendering any attempt at natural interaction futile. It's like communicating with a robotic parrot that mindlessly repeats pre-programmed phrases.Considering the exorbitant price I paid for this ""smart"" device, I expected a lot more than an endless loop of ""Happy Birthday to You."" Amazon Alexa's failure to fulfill its basic function as a voice assistant and its inability to comprehend simple commands or engage in meaningful conversation is a colossal disappointment.In conclusion, my experience with Amazon Alexa has been an exercise in frustration and regret. Its failure to listen, its incessant repetition of ""Happy Birthday to You,"" and its overall lack of intelligence make it an infuriating piece of technology that is simply not worth the investment. Save yourself the headache and look elsewhere for a truly smart and capable virtual assistant.",24-May-23
52,3,"3.0 out of 5 stars
Honest Reviews after 5 days","HonestIy, if you're looking to upgrade your Alexa Echo Gen4, then don't!Or if you're purchasing it for the first time, even then going for it would not be fine because it just has 2-3 more features than Gen4, that personally for me, won't be that important.I'm pretty sure that with upcoming updaes Gen5 will do better but for now lots of bugs are there that can make you feel irritated sometimes.#Doesn't respond#Not able to find particular song or playlist.#Listenes to everyone even when there's one profile made.#Small bugs like disconnecting whrn phone is connected.I'll suggest you to go for Echo Gen4",09-Mar-23
53,4,"4.0 out of 5 stars
Very nice",Experience is being gathered. Will review after some time,03-May-23
54,2,"2.0 out of 5 stars
Not worthy of being called as AI device in 2023","I have used the primitive generation of the Alexa and was impressed, however with every new generation it has only detoriated. I would rather bought Google home as it would seamlessly connect with my google ecosystem.It doesn't shows as a device while playing from apps other than the Amazon music. This I see is forcing.It doesn't pick up the songs how amazingly google music or YouTube picks it up when given as a command.Overall a dumb device",22-Aug-23
55,5,"5.0 out of 5 stars
Awesome",Absolutely satisfied buying Amazon echo dot. It's full entertainment. Musics stories jokes it has it all.,18-Jul-23
56,5,"5.0 out of 5 stars
Superb","Nice device, super clearity in sound and good sound",16-Jul-23
57,3,"3.0 out of 5 stars
Good for first time users But unfair.",I'm using alexa product for first time so loving it as of now ...But it's very very unfair that Amazon is not showing clock on display in India....very unfair and reducing my rating for that..,22-May-23
58,5,"5.0 out of 5 stars
Intresting product.",Nice interacting product. Loving it.,21-Jul-23
59,2,"2.0 out of 5 stars
Bad product",I returned the product but nobody came to pick the product and they cancelled the return. Also the product is not working properly. It will work as it like.. Local FM stations are not able to hear...,27-Aug-23
60,3,"3.0 out of 5 stars
Average performance",Didn’t find any improvement over previous generation.. rather worse,02-Jun-23
61,3,"3.0 out of 5 stars
The technicaly not setup with wifi please take it","The media could not be loaded.
                



 This  alexa device has problem has not connected with wifi so I want to return it",05-Jun-23
62,5,"5.0 out of 5 stars
Over good, and works perfectly",Easy setup,20-Jul-23
63,4,"4.0 out of 5 stars
Unable to setup the device.","Unable to setup the device. Replacement raised, will update once I receive the product.Update : product working fine after replacement.",06-Apr-23
64,5,"5.0 out of 5 stars
Great product",Great product,14-Jul-23
65,3,"3.0 out of 5 stars
Alexa pauses while playing music","The media could not be loaded.
                



 Alexa automatically pauses while playing songs. I tried disabling gesture but it keeps on pausing after sometime. I feel cheated after buying the product.",15-May-23
66,5,"5.0 out of 5 stars
Disadvantages of a product",As it is not a handy one we cannot take it any where as  we like that's  we are returning this.Otherwise the product is very good.,14-Jun-23
67,3,"3.0 out of 5 stars
bad product",elexa is like a ghost,21-May-23
68,5,"5.0 out of 5 stars
Big and effective sound sytem packed in a small dot.",My echo dot sits on a table and is a welcome edition to a smart home. Just mention the name and the singer the echo dot plays it for you.,12-Jun-23
69,5,"5.0 out of 5 stars
Sad that no digital clock supported",It's not with clock sound  quality is good,29-Jun-23
70,5,"5.0 out of 5 stars
Best to have",only Clock display is lacking.... :(,07-Jul-23
71,3,"3.0 out of 5 stars
about echo dot 5th gen","Colour and appearance is good.As it needs always power connection, no mobility and stuck at one place.Need to have battery backup (maybe 30minuts or so, to keep weight under control) and need to work without power.",21-Apr-23
72,5,"5.0 out of 5 stars
I love it",Yeee.i like it.. but I cannot connect syska home smart,28-Jun-23
73,3,"3.0 out of 5 stars
Product is good but sound quality could have been better",Product is good but sound quality is not great. After paying 5.5k I expected bit high volume and better bass quality.,29-Apr-23
74,5,"5.0 out of 5 stars
Good product",I spent my free time in listening music in Alexa Eco Dot.❤❤❤❤❤❤❤❤,18-Jun-23
75,3,"3.0 out of 5 stars
Its same like 4th gen without any display",Like - sound and mic responseDislike - not much added feature. The sensor don't work perfectly for turning on the smart light.,18-Apr-23
76,5,"5.0 out of 5 stars
Alexa 5th gen without clock",Excellent,26-Jun-23
77,2,"2.0 out of 5 stars
No battery,works only on power",Amazon delivery was fast but this model doesn't work on battery.it works only when power is plugged in.Sound is also not good as compare to 4th gen.,27-Jul-23
78,5,"5.0 out of 5 stars
Good product",Very good product,22-Jun-23
79,5,"5.0 out of 5 stars
Value for money","Nice product,good looking,.",22-Jun-23
80,3,"3.0 out of 5 stars
Not a great experience",Alexa need repeated commands to recognise our voice input. Also I had made default jio savan music skill but it always play from Spotify. I am not able to play playlist from jio savan after proper voice commands. Get frustrated with repeated commands.,26-Mar-23
81,2,"2.0 out of 5 stars
Poor voice recognition. Overpriced. No new features",Voice recognition is worse than previous generations. It's not worth the price tag.,05-Aug-23
82,5,"5.0 out of 5 stars
Very useful gadget for home",,24-Jun-23
83,5,"5.0 out of 5 stars
Good output",Good output,15-Jun-23
84,5,"5.0 out of 5 stars
New experience",Good,16-Jun-23
85,4,"4.0 out of 5 stars
Tap Gestures",Sometimes working and sometimes not working,09-Mar-23
86,4,"4.0 out of 5 stars
Its Good",I think the 4th gen is better value for money tho,03-Mar-23
87,5,"5.0 out of 5 stars
Amazing product",Its the best smart speaker in the market. Sound quality is too good . Alexa talk hind and english both as you asked. No setting change required from app.,12-May-23
88,5,"5.0 out of 5 stars
Superb","The media could not be loaded.
                



 Recommended for singles 😁Superb quality charger",29-Jun-23
89,1,"1.0 out of 5 stars
Not connecting to Airtel wifi","I am extremely unhappy with this product. It is unable to connect to Airtel broadband wifi. However, it is connecting to my hotspot. I can't detect where the problem is. Can Amazon launch a product which doesn't connect. I havr another alexa for three years which has connected and is working but this one is refusing to connect. I can't detect where the problem is.",19-Aug-23
